Condition_CellType_Category,Count
AD_ast_high,25
AD_ast_low,571
AD_ast_mid,68
AD_end_high,3
AD_end_low,43
AD_end_mid,7
AD_hybrid_high,15
AD_hybrid_low,951
AD_hybrid_mid,43
AD_mic_high,1
AD_mic_low,255
AD_mic_mid,4
AD_neu_high,18
AD_neu_low,324
AD_neu_mid,217
AD_no_id_high,5
AD_no_id_low,536
AD_no_id_mid,21
AD_oli_high,32
AD_oli_low,3592
AD_oli_mid,194
AD_opc_high,46
AD_opc_low,290
AD_opc_mid,72
ct_ast_high,263
ct_ast_low,1110
ct_ast_mid,368
ct_end_high,8
ct_end_low,52
ct_end_mid,15
ct_hybrid_high,38
ct_hybrid_low,276
ct_hybrid_mid,47
ct_mic_high,10
ct_mic_low,271
ct_mic_mid,37
ct_neu_high,199
ct_neu_low,116
ct_neu_mid,368
ct_no_id_high,24
ct_no_id_low,221
ct_no_id_mid,52
ct_oli_high,58
ct_oli_low,2197
ct_oli_mid,248
ct_opc_high,248
ct_opc_low,409
ct_opc_mid,311
