"","Coefficient","R_squared","P_value"
"ATP6V0B",0.0860969060010078,0.0614413182485171,8.71639644849041e-10
"RPS8",0.0877474211761766,0.0531352804910301,1.01039488301714e-08
"UQCRH",0.0743446191487762,0.0566686871095502,3.67331591073604e-09
"SYT11",0.0540586546304011,0.0223705504030454,0.00015440524262016
"ATP1B1",0.182810110535271,0.134195176931221,1.82781972983082e-20
"KCNT2",0.134781215456569,0.093371838493998,2.45120316936017e-14
"RPS27A",0.111401922638098,0.075109816762872,1.11383128156046e-11
"SCN3A",0.062624763136847,0.0235716614589884,0.000105545666250405
"ERBB4",0.217393034303151,0.103175856483485,9.2570848037364e-16
"SCG2",0.219470241662355,0.282957447227217,3.19551608559871e-46
"PID1",0.0965772777321536,0.0533703815798733,9.62302745437433e-09
"KIF1A",0.0558931714738653,0.0257368230089861,5.17762956285381e-05
"SLC6A1",0.128719953312902,0.0817574888333723,1.25643453095128e-12
"RPSA",0.0427193805897842,0.0275576085171517,2.83126239375702e-05
"RPL14",0.0564347173678965,0.0237203180630199,0.000101496286523986
"CCK",0.31114742672801,0.23452846361122,2.12181856588036e-37
"RPL29",0.0523352468556126,0.0260215867959808,4.75276933261054e-05
"SPCS1",0.067587411817614,0.0594033875888189,1.61199405674945e-09
"CACNA1D",0.0798696628471215,0.0391790399900793,6.84957077811431e-07
"KCNAB1",0.0986585368550069,0.0449617330778532,1.2054610832505e-07
"GABRB1",0.14355077138869,0.0982208828612688,4.83706499456574e-15
"RPS23",0.0688915014109757,0.0406533434519211,4.42961285183837e-07
"COX7C",0.0855362119610278,0.0506021851479131,2.15339378057677e-08
"NDFIP1",0.0760781608506813,0.0332437227819787,4.51232827522021e-06
"GABRA1",0.0968114937678227,0.0568425049032818,3.60200947900055e-09
"KCNIP1",0.0930021749986323,0.0554721683223306,5.35294389124213e-09
"HLA.A",0.0679140608985948,0.045817258660953,9.6255011192217e-08
"RPL10A",0.0644754886320174,0.0381288403947776,9.50609649770203e-07
"KCNQ5",0.169556607961073,0.077736150910898,4.77751939591737e-12
"CNR1",0.0890005200569896,0.0399020195769328,5.53170676668197e-07
"VIP",0.158980774551764,0.144289590866125,5.51620502631607e-22
"PARK2",0.0909934403943265,0.0402116029763346,5.06339286285107e-07
"NDUFA4",0.10021236696534,0.0662902231506147,2.00276911245836e-10
"NDUFB2",0.0418063453220136,0.034094299013794,3.4687294665597e-06
"AP1S2",0.112354058156627,0.0904929492014228,6.17738591701108e-14
"APOO",0.0942068917890709,0.0622152274273106,7.00449601463255e-10
"ATP6AP2",0.0729894918565389,0.050834718698998,2.04516340126754e-08
"PCSK1N",0.12201287982121,0.0715943999193511,3.56340734320543e-11
"FHL1",0.0520799093129219,0.0396342627246257,5.95868963839909e-07
"FGF13",0.0797279685161232,0.0317494318288307,7.23132101775836e-06
"RPL10",0.104764189984292,0.0652305845069465,2.57902573996135e-10
"ATP6AP1",0.0535407701661386,0.0384048039616844,8.79205421800732e-07
"ATP6V1B2",0.0448565000275969,0.0246068620693128,7.55942837578177e-05
"VDAC3",0.064024156857036,0.0448380938767587,1.23011528728136e-07
"RPL7",0.0613538173598711,0.0206322599560061,0.00027285755204782
"WWP1",0.0585813965891717,0.0328859317848089,5.02987582307319e-06
"KCNQ3",0.089157252945308,0.0378172620612908,1.02374808328906e-06
"NTRK2",0.0995964238759452,0.0454732452419617,1.05826197551066e-07
"RPL27A",0.0798517753427927,0.0453349729274233,1.08424208633093e-07
"RPS13",0.0700193012655771,0.0487045720958736,3.92944157743135e-08
"ANO5",0.046043616857322,0.0209238851523786,0.000252316149903947
"FAU",0.0411612969786336,0.0228584728286916,0.00013352452382589
"PGM2L1",0.0634800562491886,0.0483536015343501,4.32011078418849e-08
"SPCS2",0.0534824784417021,0.0298905146122094,1.31694707062978e-05
"GRM5",0.0870888460053917,0.0277481695083726,2.68617857924647e-05
"RPS25",0.0943526580578818,0.0550021028092254,6.0688174898449e-09
"PGAM1",0.058776631480196,0.0346264514065805,2.97883820742799e-06
"GRIN2B",0.122874170347973,0.0688672729955825,8.66210546915962e-11
"PKP2",0.047518292298755,0.0300029680918378,1.30249417868327e-05
"NACA",0.0567651792895706,0.0318185780957565,7.16320240264541e-06
"KCNC2",0.115572558026831,0.0536200785288372,9.12874181630524e-09
"ANO4",0.114450982607991,0.0659943390429174,2.09056954839488e-10
"MICU2",0.0650311427641145,0.0339919863797499,3.53885491551911e-06
"RPL21",0.0936953394337761,0.0546637613097376,6.58158895741492e-09
"SPG20",0.0360448681946837,0.0207801012459173,0.000262181290311634
"CHGA",0.0512783647707511,0.0480922226650901,4.60775931847568e-08
"GABRB3",0.0724005497757625,0.0299483727672167,1.3088368697763e-05
"GABRG3",0.101819269319062,0.0516123961788997,1.6093874296327e-08
"CHRNA7",0.0655941850621903,0.0441545716596007,1.48666673730083e-07
"SCG5",0.140000645091364,0.129740009838838,7.68201781572754e-20
"SRP14",0.075415766409078,0.0430383440314466,2.10342549990975e-07
"B2M",0.0800940044513741,0.0472359222236869,6.04133484742206e-08
"RNPS1",0.0508002033452607,0.0342814111092393,3.30279166428999e-06
"SYT17",0.036618185507646,0.0158243130999871,0.00141956064139064
"ALDOA",0.0801738368263446,0.0441058133799447,1.48666673730083e-07
"ATP1B2",0.0459206242622358,0.0203078978925011,0.00030202272527212
"RPL23A",0.0522952925418822,0.0227902153895938,0.000135078266419767
"ASIC2",0.120865385526355,0.0376047907668,1.08381345136577e-06
"EIF1",0.0846437405051984,0.0441029275384752,1.48666673730083e-07
"OSBPL1A",0.0994471807649276,0.0598837448430549,1.42859230383963e-09
"SLC24A3",0.0874146995001211,0.0421518186693134,2.7994595161137e-07
"GPX4",0.0615393418546006,0.0378695874479631,1.02219659925718e-06
"RPL36",0.0427699754526566,0.014519756334195,0.00222564119748537
"RPS28",0.0512443481083854,0.0295232485690698,1.4747510156842e-05
"CALR",0.0619570802828506,0.0504227281243379,2.22784689692942e-08
"RPS19",0.0916987513329789,0.0592733743081519,1.61331802001712e-09
"ATP1A3",0.0691517871364419,0.041529492417521,3.40221418099837e-07
"CHCHD10",0.0561226359206611,0.0412928823303489,3.62069974167744e-07
"ATP5J",0.0627641371407835,0.0525106611193373,1.21558085839805e-08
"GRIK1",0.0924125577141942,0.0190457469358093,0.000463818868774677
"CRH",0.10038548887484,0.117657475523429,5.53649530596894e-18
